Date,Hour,Year,Month,Weeknum,Day,Weekday,Special day,Proximity day,Point 1,Point 2,Point 3,Point 4
41756,0,2014,4,18,27,7,0,0,5.1,1.3,0.3,3.9
41756,1,2014,4,18,27,7,0,0,4.7,1,0,3.1
41756,2,2014,4,18,27,7,0,0,4.4,0.6,-0.4,2.2
41756,3,2014,4,18,27,7,0,0,5,1.3,0.4,3.1
41756,4,2014,4,18,27,7,0,0,5.6,1.9,1.2,3.9
41756,5,2014,4,18,27,7,0,0,6.2,2.6,2.1,4.8
41756,6,2014,4,18,27,7,0,0,6.9,3.3,2.9,5.7
41756,7,2014,4,18,27,7,0,0,7.5,3.9,3.7,6.5
41756,8,2014,4,18,27,7,0,0,8.1,4.6,4.5,7.4
41756,9,2014,4,18,27,7,0,0,9.1,5.6,5.1,8.5
41756,10,2014,4,18,27,7,0,0,10.1,6.5,5.7,9.7
41756,11,2014,4,18,27,7,0,0,11.1,7.4,6.3,10.9
41756,12,2014,4,18,27,7,0,0,12.1,8.4,7,12
41756,13,2014,4,18,27,7,0,0,13.1,9.3,7.6,13.2
41756,14,2014,4,18,27,7,0,0,14.1,10.3,8.2,14.3
41756,15,2014,4,18,27,7,0,0,13.4,9.6,7.5,13.4
41756,16,2014,4,18,27,7,0,0,12.7,9,6.8,12.6
41756,17,2014,4,18,27,7,0,0,12,8.3,6.1,11.7
41756,18,2014,4,18,27,7,0,0,11.2,7.6,5.4,10.8
41756,19,2014,4,18,27,7,0,0,10.5,7,4.7,10
41756,20,2014,4,18,27,7,0,0,9.8,6.3,4,9.1
41756,21,2014,4,18,27,7,0,0,8.8,5.8,3.6,8
41756,22,2014,4,18,27,7,0,0,7.9,5.2,3.3,6.8
41756,23,2014,4,18,27,7,0,0,7,4.7,2.9,5.7
41757,0,2014,4,18,28,1,0,0,6,4.1,2.5,4.6
41757,1,2014,4,18,28,1,0,0,5,3.6,2.2,3.4
41757,2,2014,4,18,28,1,0,0,4.1,3,1.8,2.3
41757,3,2014,4,18,28,1,0,0,4.9,3.4,2.3,3.1
41757,4,2014,4,18,28,1,0,0,5.7,3.9,2.9,4
41757,5,2014,4,18,28,1,0,0,6.5,4.3,3.4,4.8
41757,6,2014,4,18,28,1,0,0,7.3,4.7,3.9,5.6
41757,7,2014,4,18,28,1,0,0,8.1,5.2,4.5,6.5
41757,8,2014,4,18,28,1,0,0,8.9,5.6,5,7.3
41757,9,2014,4,18,28,1,0,0,9.7,6.1,5.5,8.5
41757,10,2014,4,18,28,1,0,0,10.5,6.7,6.1,9.8
41757,11,2014,4,18,28,1,0,0,11.3,7.2,6.6,11.1
41757,12,2014,4,18,28,1,0,0,12.1,7.7,7.1,12.3
41757,13,2014,4,18,28,1,0,0,12.9,8.3,7.7,13.6
41757,14,2014,4,18,28,1,0,0,13.7,8.8,8.2,14.8
41757,15,2014,4,18,28,1,0,0,13,8.2,7.5,13.8
41757,16,2014,4,18,28,1,0,0,12.4,7.5,6.8,12.8
41757,17,2014,4,18,28,1,0,0,11.8,6.9,6.1,11.8
41757,18,2014,4,18,28,1,0,0,11.1,6.3,5.5,10.7
41757,19,2014,4,18,28,1,0,0,10.5,5.6,4.8,9.7
41757,20,2014,4,18,28,1,0,0,9.8,5,4.1,8.7
41757,21,2014,4,18,28,1,0,0,8.9,4.6,4,7.7
41757,22,2014,4,18,28,1,0,0,7.9,4.3,3.9,6.7
41757,23,2014,4,18,28,1,0,0,7,3.9,3.8,5.7
41758,0,2014,4,18,29,2,0,0,6.1,3.5,3.7,4.7
41758,1,2014,4,18,29,2,0,0,5.1,3.2,3.6,3.7
41758,2,2014,4,18,29,2,0,0,4.2,2.8,3.5,2.7
41758,3,2014,4,18,29,2,0,0,5.2,3.3,3.6,3.9
41758,4,2014,4,18,29,2,0,0,6.2,3.8,3.7,5.1
41758,5,2014,4,18,29,2,0,0,7.2,4.2,3.8,6.4
41758,6,2014,4,18,29,2,0,0,8.3,4.7,3.8,7.6
41758,7,2014,4,18,29,2,0,0,9.3,5.2,3.9,8.8
41758,8,2014,4,18,29,2,0,0,10.3,5.7,4,10
41758,9,2014,4,18,29,2,0,0,11,6.6,4.4,11
41758,10,2014,4,18,29,2,0,0,11.6,7.5,4.8,12
41758,11,2014,4,18,29,2,0,0,12.3,8.4,5.2,13
41758,12,2014,4,18,29,2,0,0,13,9.4,5.6,13.9
41758,13,2014,4,18,29,2,0,0,13.6,10.3,6,14.9
41758,14,2014,4,18,29,2,0,0,14.3,11.2,6.4,15.9
41758,15,2014,4,18,29,2,0,0,13.4,10.4,5.9,14.6
41758,16,2014,4,18,29,2,0,0,12.4,9.7,5.5,13.3
41758,17,2014,4,18,29,2,0,0,11.5,8.9,5,12
41758,18,2014,4,18,29,2,0,0,10.6,8.1,4.5,10.8
41758,19,2014,4,18,29,2,0,0,9.6,7.4,4.1,9.5
41758,20,2014,4,18,29,2,0,0,8.7,6.6,3.6,8.2
41758,21,2014,4,18,29,2,0,0,8.2,6,3,7.8
41758,22,2014,4,18,29,2,0,0,7.7,5.5,2.4,7.3
41758,23,2014,4,18,29,2,0,0,7.1,4.9,1.8,6.8
41759,0,2014,4,18,30,3,0,1,6.6,4.4,1.1,6.4
41759,1,2014,4,18,30,3,0,1,6.1,3.8,0.5,6
41759,2,2014,4,18,30,3,0,1,5.6,3.3,-0.1,5.5
41759,3,2014,4,18,30,3,0,1,5.8,3.2,0.3,5.5
41759,4,2014,4,18,30,3,0,1,6,3.1,0.7,5.4
41759,5,2014,4,18,30,3,0,1,6.2,3,1.1,5.4
41759,6,2014,4,18,30,3,0,1,6.5,3,1.5,5.4
41759,7,2014,4,18,30,3,0,1,6.7,2.9,1.9,5.3
41759,8,2014,4,18,30,3,0,1,6.9,2.8,2.3,5.3
41759,9,2014,4,18,30,3,0,1,7.1,3,2.8,5.7
41759,10,2014,4,18,30,3,0,1,7.4,3.2,3.3,6.2
41759,11,2014,4,18,30,3,0,1,7.6,3.3,3.8,6.6
41759,12,2014,4,18,30,3,0,1,7.8,3.5,4.3,7
41759,13,2014,4,18,30,3,0,1,8.1,3.7,4.8,7.5
41759,14,2014,4,18,30,3,0,1,8.3,3.9,5.3,7.9
41759,15,2014,4,18,30,3,0,1,7.8,3.4,4.7,7.4
41759,16,2014,4,18,30,3,0,1,7.3,2.9,4.1,7
41759,17,2014,4,18,30,3,0,1,6.8,2.4,3.5,6.5
41759,18,2014,4,18,30,3,0,1,6.2,1.8,2.9,6
41759,19,2014,4,18,30,3,0,1,5.7,1.3,2.3,5.6
41759,20,2014,4,18,30,3,0,1,5.2,0.8,1.7,5.1
41759,21,2014,4,18,30,3,0,1,4.6,0.9,1.2,4.4
41759,22,2014,4,18,30,3,0,1,3.9,0.9,0.7,3.8
41759,23,2014,4,18,30,3,0,1,3.3,1,0.2,3.1
41760,0,2014,5,18,1,4,1,0,2.7,1.1,-0.4,2.4
41760,1,2014,5,18,1,4,1,0,2,1.1,-0.9,1.8
41760,2,2014,5,18,1,4,1,0,1.4,1.2,-1.4,1.1
41760,3,2014,5,18,1,4,1,0,2,1.4,-0.8,1.5
41760,4,2014,5,18,1,4,1,0,2.5,1.5,-0.3,1.9
41760,5,2014,5,18,1,4,1,0,3.1,1.7,0.2,2.3
41760,6,2014,5,18,1,4,1,0,3.7,1.9,0.8,2.7
41760,7,2014,5,18,1,4,1,0,4.2,2,1.3,3.1
41760,8,2014,5,18,1,4,1,0,4.8,2.2,1.9,3.5
41760,9,2014,5,18,1,4,1,0,5.6,2.3,2.1,3.9
41760,10,2014,5,18,1,4,1,0,6.3,2.4,2.3,4.2
41760,11,2014,5,18,1,4,1,0,7,2.6,2.6,4.6
41760,12,2014,5,18,1,4,1,0,7.8,2.7,2.8,5
41760,13,2014,5,18,1,4,1,0,8.5,2.8,3,5.3
41760,14,2014,5,18,1,4,1,0,9.3,2.9,3.2,5.7
41760,15,2014,5,18,1,4,1,0,8.5,2.6,2.9,5.3
41760,16,2014,5,18,1,4,1,0,7.8,2.3,2.5,4.9
41760,17,2014,5,18,1,4,1,0,7,2,2.2,4.6
41760,18,2014,5,18,1,4,1,0,6.3,1.6,1.9,4.2
41760,19,2014,5,18,1,4,1,0,5.6,1.3,1.5,3.8
41760,20,2014,5,18,1,4,1,0,4.8,1,1.2,3.4
41760,21,2014,5,18,1,4,1,0,4.1,0.8,0.6,2.5
41760,22,2014,5,18,1,4,1,0,3.5,0.6,-0.1,1.6
41760,23,2014,5,18,1,4,1,0,2.8,0.4,-0.7,0.7
41761,0,2014,5,18,2,5,0,1,2.1,0.2,-1.3,-0.2
41761,1,2014,5,18,2,5,0,1,1.5,0,-2,-1.1
