Date,Hour,NO cons,SE cons,FI cons,DK1 cons,DK2 cons,DK1 wind,DK2 wind,SE1 wind,SE2 wind,SE3 wind,SE4 wind,SE->FI,FI->EE,NO1->SE3,SE2->SE3,Forsmark Block1,Forsmark Block2,Forsmark Block3,Loviisa Block 1,Loviisa Block 2,Olkiluoto 1,Olkiluoto 2,Oskarshamn 1,Oskarshamn 3,Ringhals Block1,Ringhals Block2,Ringhals Block3,Ringhals Block4
41771,0,11775,12000,8098,1710,1083,550,498,14,46,281,410,2690,860,850,7200,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,1,11413,11700,7883,1673,1048,502,483,12,43,266,393,2690,860,850,7200,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,2,11253,11600,7776,1654,1029,456,474,9,39,262,372,2690,860,850,7200,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,3,11277,11600,7705,1664,1041,411,479,7,40,253,350,2690,860,850,7200,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,4,11366,11700,7842,1708,1052,380,492,7,37,236,324,2690,860,850,7200,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,5,11609,12700,8675,1809,1129,357,507,6,34,214,308,2700,860,900,7200,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,6,12626,13700,9358,2174,1322,345,521,6,27,193,290,2700,860,900,7200,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,7,13907,15100,9606,2590,1566,351,537,7,24,165,276,2680,860,900,7200,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,8,14365,16100,9713,2770,1682,399,543,9,26,153,273,2680,860,950,7200,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,9,14301,16400,9683,2792,1715,468,530,9,25,140,259,2680,860,950,7200,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,10,14262,16500,9653,2858,1755,523,511,9,24,138,246,2680,860,950,7300,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,11,14144,16500,9640,2854,1772,578,486,8,23,139,252,2690,860,900,7300,0,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,12,14008,16400,9565,2803,1784,668,451,8,21,146,297,2690,860,900,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,13,13872,16200,9475,2841,1744,782,416,8,21,156,330,2680,860,900,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,14,13929,16000,9385,2792,1711,854,390,9,21,154,347,2680,860,900,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,15,13831,15900,9269,2663,1670,877,374,10,27,153,360,2680,860,900,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,16,13764,15700,9203,2596,1668,881,370,11,21,151,335,2680,860,900,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,17,13719,15300,9117,2738,1749,852,371,12,23,148,301,2680,860,900,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,18,13702,15200,9168,2628,1706,825,373,13,25,126,229,2690,860,850,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,19,13795,15000,9156,2476,1625,811,383,15,23,112,190,2690,860,850,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,20,13831,14800,8920,2332,1549,783,384,17,24,114,187,2690,860,850,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,21,13849,14500,8935,2273,1489,743,382,24,33,119,162,2690,860,850,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,22,13470,14200,8947,2159,1410,730,383,33,29,123,162,2700,860,900,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41771,23,12765,13400,8541,1933,1247,743,383,38,35,130,162,2700,860,850,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,0,12018,12500,8129,1782,1149,717,372,22,37,131,174,2690,860,755,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,1,11730,12100,7902,1720,1085,722,366,24,40,125,170,2690,860,755,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,2,11581,11900,7818,1688,1052,755,365,26,36,120,174,2690,860,755,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,3,11622,11900,7709,1703,1058,815,348,30,37,118,183,2690,860,755,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,4,11814,11900,7821,1759,1068,882,333,30,43,121,194,2690,860,755,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,5,12075,12800,8651,1851,1138,928,337,30,50,126,199,2700,860,805,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,6,13248,14200,9279,2206,1351,947,350,29,45,127,213,2700,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,7,14719,15600,9503,2591,1605,992,368,29,45,115,238,2680,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,8,15024,16100,9622,2757,1746,1085,381,28,57,106,245,2680,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,9,14900,16300,9608,2818,1806,1175,385,29,55,101,274,2680,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,10,14813,16400,9591,2907,1833,1259,383,31,60,98,279,2680,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,11,14617,16400,9601,2910,1797,1350,378,36,66,107,300,2690,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,12,14546,16300,9525,2792,1771,1460,395,39,74,105,324,2690,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,13,14418,16200,9458,2766,1771,1573,413,45,79,109,357,2680,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,14,14392,16000,9382,2722,1750,1676,441,59,91,116,378,2680,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,15,14266,15800,9262,2612,1703,1766,502,69,116,117,389,2680,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,16,14215,15700,9202,2544,1683,1841,554,72,161,104,391,2680,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,17,14056,15400,9111,2640,1758,1861,566,110,186,93,347,2680,860,855,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,18,13937,15200,9179,2552,1711,1805,558,123,214,87,320,2690,860,805,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
41772,19,13914,15000,9157,2413,1617,1754,543,104,237,72,318,2690,860,805,7300,984,1120,1167,496,496,0,880,0,0,0,807,1063,1123
